formula,charge,in_protic,in_aprotic,in_IL,IL_comp,MS_comp,in_aq
C4BO8-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
BF4-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
BH4-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
CH3O-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
C2H5O-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
C3H7O-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
C2H4O2-2,-2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
C4H6F3O2-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Br-,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CF3O3S-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CHO3-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
C2H3O2-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CO3-2,-2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
C2F6NO4S2-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
C9H18NO-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Cl-,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ClO4-,-1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
F2NO4S2-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
F2O2P-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
AsF6-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
F6P-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
OH-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
F-,-1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
I-,-1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
NO3-,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
O4P-3,-3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
C6H2O4-2,-2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
O4S-2,-2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
