formula,charge,protic,polar_aprotic,nonpolar_aprotic,min_temperature,max_temperature,notes
C14H8O2,0,FALSE,FALSE,TRUE,559,652.9,
CH4N2O,0,TRUE,FALSE,FALSE,406,453,Decompose at high-T
C3H6O,0,FALSE,TRUE,FALSE,178,329,
C2H3N,0,FALSE,TRUE,FALSE,228,355,
C2H5NO,0,FALSE,FALSE,TRUE,355,494,
C2H6O,0,TRUE,FALSE,FALSE,159,351,
C2H6OS,0,FALSE,TRUE,FALSE,291.5,462,
C3H3FO3,0,FALSE,TRUE,FALSE,309,473,Decompose at high-T
C3H4O3,0,FALSE,TRUE,FALSE,311,521,
C3H7NO-dimethyl,0,FALSE,TRUE,FALSE,293,479,
C3H8O,0,TRUE,FALSE,FALSE,184,355.6,
C3H8O3S,0,FALSE,TRUE,FALSE,263,427,
C4H10O2,0,FALSE,TRUE,FALSE,215,358,
C4H11NO,0,TRUE,FALSE,FALSE,223,374,
C4H5F3O2,0,FALSE,TRUE,FALSE,235,350,
C4H6O2,0,FALSE,TRUE,FALSE,230,477,
C4H6O3,0,FALSE,TRUE,FALSE,224.2,515,
C4H7N,0,FALSE,TRUE,FALSE,162,391,
C4H8O,0,FALSE,TRUE,FALSE,165,339,
C4H8O2,0,FALSE,TRUE,FALSE,189.4,350.1,
C2H6O2,0,TRUE,FALSE,FALSE,260.1,470.3,
C4H8O2S,0,FALSE,TRUE,FALSE,301,558,
C2H4O4S,0,FALSE,TRUE,FALSE,370.5,483,Decompose at high-T
C6H14O3,0,FALSE,TRUE,FALSE,209,435,
C3H6O3,0,FALSE,TRUE,FALSE,275.15,363,
C4H8O3,0,FALSE,TRUE,FALSE,259,380,
C6H15NO2,0,TRUE,FALSE,FALSE,212,443,
C3H9O4P,0,FALSE,TRUE,FALSE,227,470,
C6H15O4P,0,FALSE,TRUE,FALSE,217,488,
C6H4O2,0,FALSE,FALSE,TRUE,388,568,
C6H4O4,0,FALSE,FALSE,TRUE,395,395,Decompose at high-T
C6H6O2,0,FALSE,FALSE,TRUE,445,560,Decompose at high-T
C6H6,0,FALSE,FALSE,TRUE,278.5,353,
C6H5NO2,0,FALSE,TRUE,FALSE,278.7,483.9,
C5H4F8O,0,FALSE,FALSE,TRUE,165,376,
C4H11NO,0,TRUE,FALSE,FALSE,228,391,
H2O,0,TRUE,FALSE,FALSE,273,373,
C9H18NO,0,FALSE,FALSE,TRUE,311,466,
CH3OH,0,TRUE,TRUE,FALSE,175.4,337.7,
C9H19NO,0,TRUE,TRUE,FALSE,313,481,
CHCl3,0,FALSE,TRUE,FALSE,209.5,334.2,
CH2Cl2,0,FALSE,TRUE,FALSE,176.3,312.6,
CCl4,0,FALSE,FALSE,TRUE,251,349.7,
CHBr3,0,FALSE,TRUE,FALSE,281.3,422.5,
C2H4Cl2-ethane,0,FALSE,TRUE,FALSE,238,356,
C2H4Br2,0,FALSE,TRUE,FALSE,283.2,406,
C6H5F,0,FALSE,TRUE,FALSE,229,358,
C6H14,0,FALSE,FALSE,TRUE,178,342.1,
C4H10O,0,FALSE,FALSE,TRUE,157,307.6,
C3H7NO-methyl,0,FALSE,TRUE,FALSE,212,426,
CH3NO2,0,FALSE,TRUE,FALSE,244,374.2,
C5H5N,0,FALSE,TRUE,FALSE,231.4,388.2,
C4H5N,0,FALSE,TRUE,FALSE,250,404,
C6H15N,0,FALSE,TRUE,FALSE,158.3,362,
C6H18N3OP,0,FALSE,TRUE,FALSE,280,505,
