formula,charge,protic,polar_aprotic,nonpolar_aprotic,in_rpmd,min_temperature,max_temperature,notes
C14H8O2,0,FALSE,FALSE,TRUE,FALSE,559,652.9,
C2H3N,0,FALSE,TRUE,FALSE,TRUE,228,355,
C2H4Br2,0,FALSE,TRUE,FALSE,TRUE,283.2,406,
C2H4Cl2-ethane,0,FALSE,TRUE,FALSE,TRUE,238,356,
C2H4O4S,0,FALSE,TRUE,FALSE,TRUE,370.5,483,Decompose at high-T
C2H5NO,0,FALSE,FALSE,TRUE,TRUE,355,494,
C2H6O,0,TRUE,FALSE,FALSE,TRUE,159,351,
C2H6O2,0,TRUE,FALSE,FALSE,TRUE,260.1,470.3,
C2H6OS,0,FALSE,TRUE,FALSE,TRUE,291.5,462,
C3H3FO3,0,FALSE,TRUE,FALSE,TRUE,309,473,Decompose at high-T
C3H4O3,0,FALSE,TRUE,FALSE,TRUE,311,521,
C3H6O,0,FALSE,TRUE,FALSE,TRUE,178,329,
C3H6O3,0,FALSE,TRUE,FALSE,TRUE,275.15,363,
C3H7NO-dimethyl,0,FALSE,TRUE,FALSE,TRUE,293,479,
C3H7NO-methyl,0,FALSE,TRUE,FALSE,TRUE,212,426,
C3H8O,0,TRUE,FALSE,FALSE,TRUE,184,355.6,
C3H8O3S,0,FALSE,TRUE,FALSE,TRUE,263,427,
C3H9O4P,0,FALSE,TRUE,FALSE,TRUE,227,470,
C4H10O,0,FALSE,FALSE,TRUE,TRUE,157,307.6,
C4H10O2,0,FALSE,TRUE,FALSE,TRUE,215,358,
C4H11NO,0,TRUE,FALSE,FALSE,TRUE,228,391,
C4H5F3O2,0,FALSE,TRUE,FALSE,TRUE,235,350,
C4H5N,0,FALSE,TRUE,FALSE,TRUE,250,404,
C4H6O2,0,FALSE,TRUE,FALSE,TRUE,230,477,
C4H6O3,0,FALSE,TRUE,FALSE,TRUE,224.2,515,
C4H7N,0,FALSE,TRUE,FALSE,TRUE,162,391,
C4H8O,0,FALSE,TRUE,FALSE,TRUE,165,339,
C4H8O2,0,FALSE,TRUE,FALSE,TRUE,189.4,350.1,
C4H8O2S,0,FALSE,TRUE,FALSE,TRUE,301,558,
C4H8O3,0,FALSE,TRUE,FALSE,TRUE,259,380,
C5H12,0,FALSE,FALSE,TRUE,TRUE,143.15,309,
C5H4F8O,0,FALSE,FALSE,TRUE,TRUE,165,376,
C5H5N,0,FALSE,TRUE,FALSE,TRUE,231.4,388.2,
C6H14,0,FALSE,FALSE,TRUE,TRUE,178,342.1,
C6H14O3,0,FALSE,TRUE,FALSE,TRUE,209,435,
C6H15N,0,FALSE,TRUE,FALSE,TRUE,158.3,362,
C6H15NO2,0,TRUE,FALSE,FALSE,TRUE,212,443,
C6H15O4P,0,FALSE,TRUE,FALSE,TRUE,217,488,
C6H18N3OP,0,FALSE,TRUE,FALSE,TRUE,280,505,
C6H4O2,0,FALSE,FALSE,TRUE,TRUE,388,568,
C6H4O4,0,FALSE,FALSE,TRUE,TRUE,395,395,Decompose at high-T
C6H5F,0,FALSE,TRUE,FALSE,TRUE,229,358,
C6H5NO2,0,FALSE,TRUE,FALSE,TRUE,278.7,483.9,
C6H6,0,FALSE,FALSE,TRUE,TRUE,278.5,353,
C6H6O2,0,FALSE,FALSE,TRUE,TRUE,445,560,Decompose at high-T
C9H18NO,0,FALSE,FALSE,TRUE,FALSE,311,466,
C9H19NO,0,TRUE,TRUE,FALSE,FALSE,313,481,
CCl4,0,FALSE,FALSE,TRUE,FALSE,251,349.7,
CH2Cl2,0,FALSE,TRUE,FALSE,TRUE,176.3,312.6,
CH3NO2,0,FALSE,TRUE,FALSE,TRUE,244,374.2,
CH4N2O,0,TRUE,FALSE,FALSE,TRUE,406,453,Decompose at high-T
CH4O,0,TRUE,TRUE,FALSE,TRUE,175.4,337.7,
CHBr3,0,FALSE,TRUE,FALSE,TRUE,281.3,422.5,
CHCl3,0,FALSE,TRUE,FALSE,TRUE,209.5,334.2,
H2O,0,TRUE,FALSE,FALSE,TRUE,273,373,
C7H8,0,FALSE,FALSE,TRUE,FALSE,178.5,383,
C4H8O2-dioxane,FALSE,TRUE,FALSE,FALSE,285,374,
